preset,scenario_label,factor,factor_value,strategy,total_cost_inr,fuel_cost_inr,diesel_liters,diesel_hours,co2_kg,renewable_share_pct,unserved_critical_kwh,cost_saved_vs_naive_pct,cost_saved_vs_cc_pct
kutch_village,extra_battery_50kwh,extra,extra_battery_kwh=50,cycle_charging,8189.77,5894.1,65.49,8.0,175.51,48.36,0.0,0.0,0.0
kutch_village,soc_20pct,soc,initial_soc=0.2,optimized,7012.95,6381.49,70.91,9.0,190.03,48.36,0.0,26.05,4.17
kutch_village,soc_20pct,soc,initial_soc=0.2,naive,9482.89,8840.12,98.22,23.0,263.24,48.36,0.0,0.0,0.0
kutch_village,soc_20pct,soc,initial_soc=0.2,cycle_charging,7318.28,6630.86,73.68,9.0,197.45,48.36,0.0,0.0,0.0
kutch_village,soc_50pct,soc,initial_soc=0.5,optimized,7039.31,6395.07,71.06,9.0,190.43,48.36,0.0,31.39,4.08
kutch_village,soc_50pct,soc,initial_soc=0.5,naive,10259.46,8341.36,92.68,22.0,248.39,48.36,0.0,0.0,0.0
kutch_village,soc_50pct,soc,initial_soc=0.5,cycle_charging,7338.72,6630.86,73.68,9.0,197.45,48.36,0.0,0.0,0.0
kutch_village,soc_90pct,soc,initial_soc=0.9,optimized,7088.43,6437.77,71.53,9.0,191.7,47.92,0.0,39.27,15.14
kutch_village,soc_90pct,soc,initial_soc=0.9,naive,11671.92,7772.02,86.36,21.0,231.43,47.92,0.0,0.0,0.0
kutch_village,soc_90pct,soc,initial_soc=0.9,cycle_charging,8352.85,5894.1,65.49,8.0,175.51,47.92,0.0,0.0,0.0
kutch_village,gen_failure,gen,diesel_available=False,optimized,20616.44,0.0,0.0,0.0,0.0,102.42,0.0,-1.01,-1.01
kutch_village,gen_failure,gen,diesel_available=False,naive,20411.1,0.0,0.0,0.0,0.0,93.88,39.833,0.0,0.0
kutch_village,gen_failure,gen,diesel_available=False,cycle_charging,20411.1,0.0,0.0,0.0,0.0,93.88,39.833,0.0,0.0
dang_village,baseline_defaults,baseline,baseline_defaults,optimized,4887.71,4478.54,48.68,14.0,130.46,30.73,0.0,26.68,7.61
dang_village,baseline_defaults,baseline,baseline_defaults,naive,6666.71,5932.17,64.48,34.0,172.81,30.73,0.0,0.0,0.0
dang_village,baseline_defaults,baseline,baseline_defaults,cycle_charging,5290.16,4307.93,46.83,13.0,125.49,30.73,0.0,0.0,0.0
dang_village,cloud_0pct,cloud,cloud_cover_pct=0,optimized,2141.23,1864.0,20.26,6.0,54.3,74.21,0.0,32.23,7.62
dang_village,cloud_0pct,cloud,cloud_cover_pct=0,naive,3159.64,2853.19,31.01,18.0,83.11,76.72,0.0,0.0,0.0
dang_village,cloud_0pct,cloud,cloud_cover_pct=0,cycle_charging,2317.89,1988.28,21.61,6.0,57.92,76.18,0.0,0.0,0.0
dang_village,cloud_30pct,cloud,cloud_cover_pct=30,optimized,2146.15,1868.31,20.31,6.0,54.42,74.12,0.0,32.14,7.41
dang_village,cloud_30pct,cloud,cloud_cover_pct=30,naive,3162.64,2856.36,31.05,18.0,83.21,76.47,0.0,0.0,0.0
dang_village,cloud_30pct,cloud,cloud_cover_pct=30,cycle_charging,2317.82,1988.28,21.61,6.0,57.92,75.97,0.0,0.0,0.0
dang_village,cloud_60pct,cloud,cloud_cover_pct=60,optimized,2229.32,1943.65,21.13,6.0,56.62,72.56,0.0,32.86,3.55
dang_village,cloud_60pct,cloud,cloud_cover_pct=60,naive,3320.43,3011.83,32.74,19.0,87.74,73.71,0.0,0.0,0.0
dang_village,cloud_60pct,cloud,cloud_cover_pct=60,cycle_charging,2311.34,1988.28,21.61,6.0,57.92,73.71,0.0,0.0,0.0
dang_village,cloud_90pct,cloud,cloud_cover_pct=90,optimized,4112.33,3769.34,40.97,12.0,109.8,42.06,0.0,28.11,5.37
dang_village,cloud_90pct,cloud,cloud_cover_pct=90,naive,5720.42,4881.39,53.06,28.0,142.2,42.06,0.0,0.0,0.0
dang_village,cloud_90pct,cloud,cloud_cover_pct=90,cycle_charging,4345.51,3645.17,39.62,11.0,106.19,42.06,0.0,0.0,0.0
dang_village,diesel_price_70,diesel,diesel_price=70,optimized,3810.0,3404.53,48.64,14.0,130.34,30.73,0.0,27.4,10.56
dang_village,diesel_price_70,diesel,diesel_price=70,naive,5248.15,4513.61,64.48,34.0,172.81,30.73,0.0,0.0,0.0
dang_village,diesel_price_70,diesel,diesel_price=70,cycle_charging,4260.0,3277.77,46.83,13.0,125.49,30.73,0.0,0.0,0.0
dang_village,diesel_price_90,diesel,diesel_price=90,optimized,4782.73,4377.25,48.64,14.0,130.34,30.73,0.0,26.84,7.96
dang_village,diesel_price_90,diesel,diesel_price=90,naive,6537.75,5803.21,64.48,34.0,172.81,30.73,0.0,0.0,0.0
dang_village,diesel_price_90,diesel,diesel_price=90,cycle_charging,5196.5,4214.28,46.83,13.0,125.49,30.73,0.0,0.0,0.0
dang_village,diesel_price_110,diesel,diesel_price=110,optimized,5755.45,5349.98,48.64,14.0,130.34,30.73,0.0,26.47,6.16
dang_village,diesel_price_110,diesel,diesel_price=110,naive,7827.35,7092.81,64.48,34.0,172.81,30.73,0.0,0.0,0.0
dang_village,diesel_price_110,diesel,diesel_price=110,cycle_charging,6133.01,5150.79,46.83,13.0,125.49,30.73,0.0,0.0,0.0
dang_village,diesel_price_130,diesel,diesel_price=130,optimized,6735.59,6327.19,48.67,14.0,130.44,30.73,0.0,26.12,4.72
dang_village,diesel_price_130,diesel,diesel_price=130,naive,9116.95,8382.41,64.48,34.0,172.81,30.73,0.0,0.0,0.0
dang_village,diesel_price_130,diesel,diesel_price=130,cycle_charging,7069.52,6087.3,46.83,13.0,125.49,30.73,0.0,0.0,0.0
dang_village,extra_battery_25kwh,extra,extra_battery_kwh=25,optimized,4883.17,4476.18,48.65,14.0,130.39,30.73,0.0,31.86,7.79
dang_village,extra_battery_25kwh,extra,extra_battery_kwh=25,naive,7165.96,5688.49,61.83,33.0,165.71,30.73,0.0,0.0,0.0
dang_village,extra_battery_25kwh,extra,extra_battery_kwh=25,cycle_charging,5295.7,4307.93,46.83,13.0,125.49,30.73,0.0,0.0,0.0
dang_village,extra_battery_50kwh,extra,extra_battery_kwh=50,optimized,4883.54,4476.37,48.66,14.0,130.4,30.73,0.0,36.29,19.69
dang_village,extra_battery_50kwh,extra,extra_battery_kwh=50,naive,7665.2,5444.81,59.18,32.0,158.61,30.73,0.0,0.0,0.0
dang_village,extra_battery_50kwh,extra,extra_battery_kwh=50,cycle_charging,6081.04,3976.55,43.22,12.0,115.84,30.73,0.0,0.0,0.0
dang_village,soc_20pct,soc,initial_soc=0.2,optimized,5053.21,4625.55,50.28,14.0,134.74,27.52,0.0,26.26,7.28
dang_village,soc_20pct,soc,initial_soc=0.2,naive,6852.71,6439.93,70.0,37.0,187.6,30.73,0.0,0.0,0.0
dang_village,soc_20pct,soc,initial_soc=0.2,cycle_charging,5449.69,4970.69,54.03,15.0,144.8,30.73,0.0,0.0,0.0
dang_village,soc_50pct,soc,initial_soc=0.5,optimized,4887.71,4478.54,48.68,14.0,130.46,30.73,0.0,26.68,7.61
dang_village,soc_50pct,soc,initial_soc=0.5,naive,6666.71,5932.17,64.48,34.0,172.81,30.73,0.0,0.0,0.0
dang_village,soc_50pct,soc,initial_soc=0.5,cycle_charging,5290.16,4307.93,46.83,13.0,125.49,30.73,0.0,0.0,0.0
dang_village,soc_90pct,soc,initial_soc=0.9,optimized,4893.63,4481.62,48.71,14.0,130.55,30.73,0.0,36.8,19.69
dang_village,soc_90pct,soc,initial_soc=0.9,naive,7743.4,5423.31,58.95,32.0,157.98,30.73,0.0,0.0,0.0
dang_village,soc_90pct,soc,initial_soc=0.9,cycle_charging,6093.28,3976.55,43.22,12.0,115.84,30.73,0.0,0.0,0.0
dang_village,gen_failure,gen,diesel_available=False,optimized,14504.57,0.0,0.0,0.0,0.0,108.44,12.718,-3.05,-3.05
dang_village,gen_failure,gen,diesel_available=False,naive,14074.82,0.0,0.0,0.0,0.0,93.04,41.069,0.0,0.0
dang_village,gen_failure,gen,diesel_available=False,cycle_charging,14074.82,0.0,0.0,0.0,0.0,93.04,41.069,0.0,0.0
sundarbans_island,baseline_defaults,baseline,baseline_defaults,optimized,14086.64,12950.83,136.32,12.0,365.35,32.69,0.0,24.38,1.0
sundarbans_island,baseline_defaults,baseline,baseline_defaults,naive,18627.39,16985.2,178.79,28.0,479.16,32.69,0.0,0.0,0.0
sundarbans_island,baseline_defaults,baseline,baseline_defaults,cycle_charging,14229.14,13040.81,137.27,12.0,367.89,32.69,0.0,0.0,0.0
sundarbans_island,cloud_0pct,cloud,cloud_cover_pct=0,optimized,11088.66,10070.1,106.0,9.0,284.08,47.4,0.0,24.04,3.36
sundarbans_island,cloud_0pct,cloud,cloud_cover_pct=0,naive,14597.45,13647.61,143.66,22.0,385.01,47.34,0.0,0.0,0.0
sundarbans_island,cloud_0pct,cloud,cloud_cover_pct=0,cycle_charging,11474.17,10471.18,110.22,10.0,295.4,47.2,0.0,0.0,0.0
sundarbans_island,cloud_30pct,cloud,cloud_cover_pct=30,optimized,11244.32,10078.91,106.09,9.0,284.33,47.02,0.0,23.22,2.31
sundarbans_island,cloud_30pct,cloud,cloud_cover_pct=30,naive,14645.61,13696.84,144.18,22.0,386.4,46.82,0.0,0.0,0.0
sundarbans_island,cloud_30pct,cloud,cloud_cover_pct=30,cycle_charging,11510.77,10505.63,110.59,10.0,296.37,46.82,0.0,0.0,0.0
sundarbans_island,cloud_60pct,cloud,cloud_cover_pct=60,optimized,12182.82,11156.5,117.44,10.0,314.73,41.74,0.0,21.37,3.54
sundarbans_island,cloud_60pct,cloud,cloud_cover_pct=60,naive,15493.44,14466.29,152.28,23.0,408.1,41.74,0.0,0.0,0.0
sundarbans_island,cloud_60pct,cloud,cloud_cover_pct=60,cycle_charging,12630.35,11580.23,121.9,11.0,326.68,41.74,0.0,0.0,0.0
sundarbans_island,cloud_90pct,cloud,cloud_cover_pct=90,optimized,15902.06,14489.37,152.52,13.0,408.75,24.1,0.0,27.27,3.27
sundarbans_island,cloud_90pct,cloud,cloud_cover_pct=90,naive,21863.86,19047.42,200.5,32.0,537.34,24.06,0.0,0.0,0.0
sundarbans_island,cloud_90pct,cloud,cloud_cover_pct=90,cycle_charging,16440.25,14758.48,155.35,14.0,416.34,24.06,0.0,0.0,0.0
sundarbans_island,diesel_price_70,diesel,diesel_price=70,optimized,10680.23,9543.48,136.34,12.0,365.38,32.69,0.0,24.56,1.08
sundarbans_island,diesel_price_70,diesel,diesel_price=70,naive,14157.6,12515.41,178.79,28.0,479.16,32.69,0.0,0.0,0.0
sundarbans_island,diesel_price_70,diesel,diesel_price=70,cycle_charging,10797.35,9609.02,137.27,12.0,367.89,32.69,0.0,0.0,0.0
sundarbans_island,diesel_price_90,diesel,diesel_price=90,optimized,13407.13,12270.29,136.34,12.0,365.38,32.69,0.0,24.4,1.0
sundarbans_island,diesel_price_90,diesel,diesel_price=90,naive,17733.43,16091.25,178.79,28.0,479.16,32.69,0.0,0.0,0.0
sundarbans_island,diesel_price_90,diesel,diesel_price=90,cycle_charging,13542.78,12354.45,137.27,12.0,367.89,32.69,0.0,0.0,0.0
sundarbans_island,diesel_price_110,diesel,diesel_price=110,optimized,16133.16,14996.63,136.33,12.0,365.37,32.69,0.0,24.29,0.95
sundarbans_island,diesel_price_110,diesel,diesel_price=110,naive,21309.26,19667.08,178.79,28.0,479.16,32.69,0.0,0.0,0.0
sundarbans_island,diesel_price_110,diesel,diesel_price=110,cycle_charging,16288.22,15099.88,137.27,12.0,367.89,32.69,0.0,0.0,0.0
sundarbans_island,diesel_price_130,diesel,diesel_price=130,optimized,18864.08,17725.87,136.35,12.0,365.43,32.69,0.0,24.2,0.89
sundarbans_island,diesel_price_130,diesel,diesel_price=130,naive,24885.09,23242.91,178.79,28.0,479.16,32.69,0.0,0.0,0.0
sundarbans_island,diesel_price_130,diesel,diesel_price=130,cycle_charging,19033.65,17845.31,137.27,12.0,367.89,32.69,0.0,0.0,0.0
sundarbans_island,extra_battery_25kwh,extra,extra_battery_kwh=25,optimized,14046.65,12929.68,136.1,12.0,364.75,32.69,0.0,25.68,8.76
sundarbans_island,extra_battery_25kwh,extra,extra_battery_kwh=25,naive,18899.4,16532.24,174.02,27.0,466.38,32.69,0.0,0.0,0.0
sundarbans_island,extra_battery_25kwh,extra,extra_battery_kwh=25,cycle_charging,15394.83,12318.67,129.67,11.0,347.52,32.69,0.0,0.0,0.0
sundarbans_island,extra_battery_50kwh,extra,extra_battery_kwh=50,optimized,14001.56,12905.84,135.85,12.0,364.08,32.69,0.0,28.14,8.65
sundarbans_island,extra_battery_50kwh,extra,extra_battery_kwh=50,naive,19483.31,16367.15,172.29,27.0,461.73,32.69,0.0,0.0,0.0
sundarbans_island,extra_battery_50kwh,extra,extra_battery_kwh=50,cycle_charging,15327.62,12318.67,129.67,11.0,347.52,32.69,0.0,0.0,0.0
sundarbans_island,soc_20pct,soc,initial_soc=0.2,optimized,14317.81,13136.51,138.28,12.0,370.59,31.63,0.0,25.16,0.68
sundarbans_island,soc_20pct,soc,initial_soc=0.2,naive,19131.22,17962.45,189.08,30.0,506.73,32.69,0.0,0.0,0.0
sundarbans_island,soc_20pct,soc,initial_soc=0.2,cycle_charging,14415.51,13194.34,138.89,12.0,372.22,32.69,0.0,0.0,0.0
sundarbans_island,soc_50pct,soc,initial_soc=0.5,optimized,14086.64,12950.83,136.32,12.0,365.35,32.69,0.0,24.38,1.0
sundarbans_island,soc_50pct,soc,initial_soc=0.5,naive,18627.39,16985.2,178.79,28.0,479.16,32.69,0.0,0.0,0.0
sundarbans_island,soc_50pct,soc,initial_soc=0.5,cycle_charging,14229.14,13040.81,137.27,12.0,367.89,32.69,0.0,0.0,0.0
sundarbans_island,soc_90pct,soc,initial_soc=0.9,optimized,14147.19,12982.84,136.66,12.0,366.25,32.69,0.0,28.81,8.58
sundarbans_island,soc_90pct,soc,initial_soc=0.9,naive,19871.56,15880.88,167.17,26.0,448.01,32.69,0.0,0.0,0.0
sundarbans_island,soc_90pct,soc,initial_soc=0.9,cycle_charging,15474.53,12656.63,133.23,12.0,357.05,32.69,0.0,0.0,0.0
sundarbans_island,gen_failure,gen,diesel_available=False,optimized,39886.43,0.0,0.0,0.0,0.0,103.9,0.0,-1.65,-1.65
sundarbans_island,gen_failure,gen,diesel_available=False,naive,39240.35,0.0,0.0,0.0,0.0,94.78,65.797,0.0,0.0
sundarbans_island,gen_failure,gen,diesel_available=False,cycle_charging,39240.35,0.0,0.0,0.0,0.0,94.78,65.797,0.0,0.0
